ID,Alcohol_Consumption
10000124,Rarely
10000133,Once a week
10000149,Rarely
10000156,Once a month
10000161,Once a week
10000162,Occassional
10000165,Once a month
10000181,Once a month
10000187,Once a month
10000190,Once a week
10000195,Occassional
10000196,Rarely
10000201,Occassional
10000203,Never
10000205,Never
10000206,2 - 3 times a month
10000209,Rarely
10000210,Once a month
10000212,Occassional
10000214,
10000219,Occassional
10000224,2 - 3 times a month
10000229,Occassional
10000230,Once a week
10000233,Once a month
10000240,Once a month
10000254,Once a week
10000262,Rarely
10000265,Multiple times in a week
10000271,Rarely
10000276,Once a month
10000277,Never
10000294,Rarely
10000296,
10000311,Rarely
10000317,Occassional
10000319,Once a month
10000320,2 - 3 times a month
10000321,Once a month
10000325,Rarely
10000329,Once a month
10000339,Never
10000340,2 - 3 times a month
10000345,Occassional
10000373,Once a month
10000375,
10000387,Once a month
10000396,Rarely
10000400,Rarely
10000407,Once a week
10000413,Rarely
10000416,Multiple times in a week
10000417,Once a month
10000420,Never
10000424,Occassional
10000426,2 - 3 times a month
10000431,Occassional
10000438,Rarely
10000443,Once a month
10000445,Once a week
10000447,Multiple times in a week
10000449,
10000464,2 - 3 times a month
10000468,Once a week
10000469,Never
10000483,Once a month
10000488,Never
10000497,Once a week
10000499,
10000501,Once a week
10000507,2 - 3 times a month
10000510,Multiple times in a week
10000511,Occassional
10000512,Multiple times in a week
10000515,Once a week
10000519,2 - 3 times a month
10000521,Once a month
10000532,Never
10000536,Once a month
10000541,Once a month
10000546,Multiple times in a week
10000549,
10000556,Multiple times in a week
10000560,
10000561,Once a month
10000565,
10000575,Never
10000589,Once a week
10000591,2 - 3 times a month
10000599,Multiple times in a week
10000604,2 - 3 times a month
10000606,Rarely
10000628,Never
10000642,Once a week
10000646,Occassional
10000675,Multiple times in a week
10000678,Never
10000679,Multiple times in a week
10000683,Once a month
10000692,Multiple times in a week
10000696,Rarely
10000705,Rarely
10000726,2 - 3 times a month
10000734,Once a month
10000735,2 - 3 times a month
10000743,Once a week
10000746,2 - 3 times a month
10000748,Multiple times in a week
10000750,Once a week
10000755,Once a week
10000756,Occassional
10000758,Once a month
10000760,Once a week
10000791,Never
10000799,Once a month
10000801,2 - 3 times a month
10000804,2 - 3 times a month
10000814,Occassional
10000824,2 - 3 times a month
10000830,2 - 3 times a month
10000832,Multiple times in a week
10000833,Occassional
10000864,Once a week
10000867,Once a month
10000885,2 - 3 times a month
10000887,Rarely
10000888,Occassional
10000897,Once a week
10000898,Once a week
10000905,2 - 3 times a month
10000907,Occassional
10000916,Rarely
10000917,Rarely
10000925,
10000930,Occassional
10000939,Once a week
10000940,Once a month
10000942,Once a week
10000947,2 - 3 times a month
10000951,Once a week
10000955,Occassional
10000959,Once a week
10000962,2 - 3 times a month
10000965,Once a month
10000967,Never
10000971,2 - 3 times a month
10000975,Once a month
10000993,Rarely
10000995,Once a month
10000998,Never
10001000,Occassional
10001002,Rarely
10001003,2 - 3 times a month
10001006,Once a month
10001012,Multiple times in a week
10001019,Once a month
10001026,2 - 3 times a month
10001028,Once a week
10001029,Multiple times in a week
10001040,2 - 3 times a month
10001049,Never
10001052,Once a month
10001055,Once a week
10001056,Once a month
10001060,Once a week
10001061,Rarely
10001062,Once a month
10001063,2 - 3 times a month
10001066,
10001068,Once a month
10001069,Never
10001076,Once a week
10001078,Never
10001081,Once a week
10001082,Occassional
10001088,Multiple times in a week
10001090,Rarely
10001092,2 - 3 times a month
10001097,Once a month
10001105,Once a week
10001106,Rarely
10001108,2 - 3 times a month
10001109,Multiple times in a week
10001114,2 - 3 times a month
10001115,2 - 3 times a month
10001124,Occassional
10001128,Occassional
10001130,2 - 3 times a month
10001133,Multiple times in a week
10001135,Occassional
10001136,Occassional
10001149,Multiple times in a week
10001152,Once a month
10001164,2 - 3 times a month
10001173,Never
10001182,Once a month
10001189,Once a week
10001190,Multiple times in a week
10001200,Occassional
10001201,Once a month
10001203,Multiple times in a week
10001218,Occassional
10001219,Rarely
10001221,Once a week
10001224,Occassional
10001234,
10001239,Rarely
10001241,2 - 3 times a month
10001247,Multiple times in a week
10001252,Once a week
10001253,2 - 3 times a month
10001254,Once a month
10001258,2 - 3 times a month
10001260,Occassional
10001261,Once a week
10001262,Once a month
10001263,
10001274,Occassional
10001275,2 - 3 times a month
10001276,Never
10001287,2 - 3 times a month
10001288,
10001310,Rarely
10001318,Rarely
10001325,Rarely
10001327,Once a week
10001329,Once a week
10001332,Never
10001358,Occassional
10001361,Rarely
10001369,Once a month
10001373,Once a week
10001384,2 - 3 times a month
10001396,2 - 3 times a month
10001412,Once a week
10001413,Occassional
10001416,2 - 3 times a month
10001417,2 - 3 times a month
10001418,
10001422,Once a week
10001424,2 - 3 times a month
10001428,2 - 3 times a month
10001433,Occassional
10001446,2 - 3 times a month
10001453,Rarely
10001458,Multiple times in a week
10001459,Never
10001460,Occassional
10001473,Never
10001479,Occassional
10001482,Never
10001484,Once a week
10001485,2 - 3 times a month
10001487,Rarely
10001494,Occassional
10001498,Once a week
10001504,Rarely
10001508,Never
10001512,Never
10001515,Once a week
10001516,Rarely
10001520,Once a month
10001522,Never
10001538,Occassional
10001543,Rarely
10001545,Rarely
10001549,Once a month
10001550,Occassional
10001554,Once a week
10001558,Rarely
10001560,Rarely
10001592,Never
10001604,2 - 3 times a month
10001616,
10001621,Rarely
10001622,2 - 3 times a month
10001625,Once a month
10001634,Occassional
10001647,Once a week
10001655,2 - 3 times a month
10001658,Occassional
10001660,Once a month
10001662,2 - 3 times a month
10001663,Multiple times in a week
10001668,Rarely
10001684,Once a week
10001688,Occassional
10001692,2 - 3 times a month
10001693,2 - 3 times a month
10001701,Occassional
10001704,Never
10001706,Once a week
10001707,Multiple times in a week
10001708,Occassional
10001712,Once a month
10001713,Rarely
10001715,Once a week
10001726,Occassional
10001727,Never
10001730,Rarely
10001734,Occassional
10001738,Once a month
10001750,Occassional
10001753,Once a month
10001755,2 - 3 times a month
10001756,Occassional
10001768,Rarely
10001773,Once a week
10001777,
10001779,Never
10001780,Occassional
10001783,Never
10001787,Once a week
10001797,Once a week
10001802,Once a week
10001809,Never
10001815,Never
10001817,Never
10001831,Never
10001835,Multiple times in a week
10001840,2 - 3 times a month
10001841,Rarely
10001844,Multiple times in a week
10001847,Once a week
10001857,Once a month
10001880,Occassional
10001898,Once a month
10001899,2 - 3 times a month
10001905,2 - 3 times a month
10001914,Never
10001920,Once a week
10001922,2 - 3 times a month
10001927,Once a week
10001934,Never
10001937,Multiple times in a week
10001938,Never
10001947,Rarely
10001961,Once a month
10001967,Once a week
10001971,Once a week
10001978,2 - 3 times a month
10001980,Never
10001984,Never
10001989,2 - 3 times a month
10001998,Never
10002002,Occassional
10002011,Occassional
10002012,Once a week
10002013,Rarely
10002017,Rarely
10002018,Never
10002020,2 - 3 times a month
10002021,2 - 3 times a month
10002034,Once a month
10002043,Occassional
10002050,Rarely
10002059,Once a week
10002064,Once a month
10002067,Never
10002069,Occassional
10002070,Once a week
10002073,Never
10002076,2 - 3 times a month
10002080,Once a month
10002083,Once a week
10002093,Once a month
10002099,Multiple times in a week
10002104,Once a month
10002105,Never
10002118,2 - 3 times a month
10002126,Occassional
10002134,Once a week
10002136,Multiple times in a week
10002143,Once a week
10002144,Occassional
10002146,Occassional
10002150,
10002152,Once a week
10002154,Once a month
10002159,Once a month
10002168,Once a month
10002169,Never
10002171,Once a week
10002173,Once a month
10002181,Once a week
10002182,Never
10002203,Never
10002205,Once a week
10002209,Once a week
10002211,2 - 3 times a month
10002221,Never
10002229,Occassional
10002232,
10002233,Occassional
10002236,Once a month
10002237,Never
10002239,Never
10002240,2 - 3 times a month
10002245,Once a month
10002249,Once a week
10002255,
10002256,Occassional
10002260,Rarely
10002261,Once a week
10002263,Once a month
10002264,Once a month
10002266,Never
10002272,Occassional
10002285,Rarely
10002294,Once a month
10002295,2 - 3 times a month
10002296,2 - 3 times a month
10002297,Rarely
10002304,Multiple times in a week
10002306,Once a month
10002310,Once a month
10002325,Once a week
10002332,Never
10002334,2 - 3 times a month
10002335,Once a week
10002344,Occassional
10002345,Once a week
10002346,Rarely
10002354,Multiple times in a week
10002357,Rarely
10002358,2 - 3 times a month
10002369,2 - 3 times a month
10002370,Never
10002376,Never
10002378,Once a week
10002381,Never
10002382,Rarely
10002383,Occassional
10002384,Never
10002392,Once a week
10002394,Once a week
10002395,Never
10002396,Rarely
10002401,Multiple times in a week
10002402,Never
10002411,Once a week
10002412,Once a month
10002418,Once a month
10002419,Once a week
10002420,Rarely
10002423,Rarely
10002427,Multiple times in a week
10002430,
10002441,Occassional
10002451,Occassional
10002456,Rarely
10002457,Multiple times in a week
10002460,Once a week
10002461,Once a month
