ID,Var1,WorkStatus,Score,Divorce,Widowed,Education,Residence_Region,babies,preteen,teens,income,Engagement_Religion,Var2,TVhours,Gender,Unemployed10,Happy
10000123,A,keeping house,46,NA,no,12,middle atlantic,2,3,0,$10000 - 14999,sevrl times a yr,2,2,1,1,Pretty Happy
10000125,A,working fulltime,29,no,no,12,foreign,0,0,0,$15000 - 19999,more thn once wk,1,1,1,NA,Pretty Happy
10000126,A,working fulltime,42,yes,no,8,foreign,0,0,0,$15000 - 19999,once a year,2,3,0,1,Not Happy
10000127,A,working parttime,36,NA,NA,13,middle atlantic,0,1,1,$10000 - 14999,once a year,1,NA,1,0,Not Happy
10000130,A,working fulltime,44,NA,NA,12,foreign,0,0,0,$10000 - 14999,more thn once wk,2,4,0,0,Very Happy
10000132,A,working fulltime,46,NA,no,12,middle atlantic,0,0,1,$15000 - 19999,more thn once wk,1,NA,1,1,Pretty Happy
10000134,A,working fulltime,75,NA,NA,19,middle atlantic,0,0,0,$25000 or more,once a year,2,2,1,0,Pretty Happy
10000135,A,working fulltime,51,no,no,16,foreign,0,0,0,$25000 or more,sevrl times a yr,2,2,0,0,Very Happy
10000137,A,working fulltime,73,NA,NA,18,south atlantic,0,0,0,$25000 or more,once a month,1,1,0,NA,Pretty Happy
10000138,A,working fulltime,41,NA,NA,16,middle atlantic,0,0,0,$25000 or more,once a year,1,1,1,NA,Pretty Happy
10000140,A,keeping house,59,no,no,16,e. nor. central,2,0,0,$25000 or more,once a year,1,3,1,NA,Very Happy
10000141,A,retired,35,NA,NA,NA,middle atlantic,0,0,0,NA,sevrl times a yr,3,3,0,NA,Not Happy
10000142,A,working parttime,46,no,no,16,new england,0,0,0,$25000 or more,never,1,2,0,NA,Pretty Happy
10000143,A,working parttime,47,NA,NA,16,middle atlantic,0,0,0,$10000 - 14999,more thn once wk,1,3,0,NA,Pretty Happy
10000144,A,working parttime,74,NA,no,20,middle atlantic,0,0,0,$25000 or more,never,1,NA,0,0,Not Happy
10000145,A,working fulltime,44,NA,NA,12,middle atlantic,0,0,0,$25000 or more,never,1,4,0,NA,Pretty Happy
10000146,A,retired,52,NA,NA,16,new england,0,0,0,NA,never,1,NA,0,1,Pretty Happy
10000147,A,working fulltime,74,NA,NA,16,middle atlantic,0,0,0,$25000 or more,never,2,1,0,0,Pretty Happy
10000148,A,working fulltime,44,yes,no,8,foreign,0,0,0,NA,never,1,4,0,NA,Pretty Happy
10000150,A,keeping house,NA,NA,NA,8,foreign,0,0,0,$3000 to 3999,once a year,2,8,1,1,Not Happy
10000152,A,working fulltime,64,NA,no,17,w. sou. central,0,0,1,NA,2-3x a month,1,2,1,NA,Pretty Happy
10000153,A,keeping house,41,yes,NA,13,middle atlantic,0,0,0,$8000 to 9999,lt once a year,2,2,1,0,Pretty Happy
10000154,A,working fulltime,42,NA,NA,12,middle atlantic,0,0,0,$25000 or more,lt once a year,2,2,0,1,Pretty Happy
10000157,A,keeping house,60,no,no,16,middle atlantic,2,0,0,$25000 or more,lt once a year,1,2,1,NA,Not Happy
10000158,A,working fulltime,44,no,no,16,middle atlantic,0,0,0,$25000 or more,sevrl times a yr,1,NA,1,0,Not Happy
10000160,A,other,32,NA,NA,NA,middle atlantic,0,0,0,$5000 to 5999,never,1,NA,0,0,Not Happy
10000163,A,keeping house,59,no,no,16,middle atlantic,1,0,0,$25000 or more,once a month,2,4,1,0,Very Happy
10000164,A,working fulltime,64,NA,NA,18,middle atlantic,0,0,0,$25000 or more,every week,2,3,1,0,Pretty Happy
10000166,A,retired,60,no,NA,12,middle atlantic,0,0,0,$25000 or more,never,1,NA,1,0,Pretty Happy
10000167,A,temp not working,28,NA,NA,13,foreign,0,0,0,NA,never,1,NA,1,0,Not Happy
10000169,A,keeping house,29,NA,no,12,foreign,1,1,0,NA,sevrl times a yr,1,3,1,NA,Not Happy
10000170,A,school,29,NA,no,18,foreign,0,0,0,$3000 to 3999,once a year,1,2,0,NA,Not Happy
